Title,Price (€),Avg Review,Review Count,Availability,Delivery,Has Prime,Image,ASIN,Brand,Model Number,Product Dimensions,Item Weight,Best Sellers Rank,URL
"Apple 2024 MacBook Pro laptop with M4 Pro chip, with 14-core CPU and 20-core GPU: 14.2 inch Liquid Retina XDR display, 24GB central memory, 1TB SSD storage; Silver",975.59,4.5,61,Only 2 left in stock.,"FREE delivery Friday, 5 December. Order within 12 hrs 42 mins",No,https://m.media-amazon.com/images/I/61F42+I6LgL._AC_SX679_.jpg,,,,,,,https://www.amazon.nl/-/en/Apple-MacBook-laptop-14-core-20-core/dp/B0DLJ2KYB6/ref=sr_1_174
"MSI Katana 17 Gaming Notebook, 43.9 cm (17.3 Inch) FHD, 144 Hz, Intel Core i7-13620H, 2x8GB RAM, 1TB SSD, RTX 4060 8GB, Windows 11 Home, QWERTZ Keyboard, Black, B13VFK-269",946.02,4.4,226,Only 1 left in stock.,"FREE delivery Friday, 5 December. Order within 12 hrs 42 mins",No,https://m.media-amazon.com/images/I/81ru7TLAlqL._AC_SX679_.jpg,‎B0BV9BZ9VB,‎MSI,,,,,https://www.amazon.nl/-/en/Notebook-i7-13620H-Windows-Keyboard-B13VFK-269/dp/B0BV9BZ9VB/ref=sr_1_206
Comfyable 33 cm 14 inch Padded Laptop Sleeve Carry Case for MacBook Air M4 2025 M3 M2 M1 MacBook Pro M4 Pro/Max Rice White,25.73,4.7,1964,In stock,"FREE delivery Thursday, 4 December. Order within 21 hrs 42 mins",Yes,https://m.media-amazon.com/images/I/51u-bT0CBkL._AC_SX679_.jpg,B0BHW2975C,,,‎36 x 25 x 3 cm; 350 g,‎350 g,,https://aax-eu.amazon.nl/x/c/JIZ7VnuAAMYUcpjmkJCx8GIAAAGa2WWdVgMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICC--vWQ/clv1_CEuOPUxokZA0iHrVVPcM2iHea3kqVJVrnpAG-Ras-thM8X9cxgn7OP018HHz9hvVjq0yzpNb3XnMfU0fAmcAB05_CCzNP-PjE3scY2Z4cliFPJlNskfB8IkGXCQZUuW6XJeXalC7rdIQEQQ8kV_3ZVhXLA8QC8x8H15tWbp4SRWS0aSJkEohXxuzLJWvKbYuDzUcfMyagcpNBHhtJZhsefQQh8yliMIIKin6O61_zAYOsoJhkeWuV2gvjBmW5lJBN2PMN-SRnR9AjX0lL9xFahCwdXiTzSjwM7ud24izaJsqIGal1aK1xkuNcA7FBIOT3_cq0eVrbNPflpL2U6GKU_gv7NxYAjAcjfMT54VpLaVAzVRYAnuW_yWr3JYqfnqDdhxLjmOcuEwx-BDIB-qsZkJEf5T7hPBne-wSBml9tlZkUux_rAVrRF9I0bxcInE7B-SzTerxncKfUiU5AmivnrILanCo32GhbDJIe6lnr_OWNERglpem8znmTGFeD4bpkfBkqz8eJ7Yhgi65qQq-3SLeZRREKloABRGNXQ3rH7TzdC7-JC528VwgO2bSLVbCaqYMtfFhe22klod-itw1XljdPC46nAx8y_Q_sb2jvEAat6-m4bEYPW3e5AK5a6OUFmEaTc0_BDRR8sxrK5FA4WRB9aDSOCglanoKvc166KZLIEcdMSaTvk5HkBj8Tddr6xcp62Yw9vcq8M0hInuTF2Qc9YT3NfHd0bj5fHMZEATtnSGoQ91RwiFPy9sXdOWWnaJINyzJpRTR7yu5NUPUHzlNrSnxI2Fr_phofMEBQSaV5nwrGPxUnyVgn6qOF1CtVr-ydytC0AnKuOd5e5FolbawolE4zNOlE_Wtos-7vGmS3VT1sW4h-wjMh1yUuAjRqaUBhfc5sA3lQuYcX745FtS3-sqfpDdwKScBDgPLkRSFkj1LUDUVSGo2fz26-EG0iDyfcd_Z6aGJv-3nzC-GALpOP7_ie4Xr236hDRFQOcAaQRpQTlZTTKXX6g_rJFk3Myym8JZJ0yEIabM626ed8zQ8vT9OV-el-FN245Z-jxBoUki4bbuZBQ3gWatfffBsN22EVa7PG2kHFra9Y569sPzmannh2bd9KJA3WjVrNrG6EESMOe1LpUFGN5u9r9jTrMU5Tt7ikAMtH-J1rUc_OgA3UOX-W3HyLIIus4rni6KA6C-R1i796ZgnhBNZYfoGNCe6dEz90E3TQRc9tlntO_zH2el8u6dOqxqR24NNDkT8M2UYRhuHxU65sksMLob6YLsAlOuVWXr4YZ47Urwsl3EH5rRgjqaWzgujzWmsC9CvKdFbc9nQnosrjzq0-KU6B4EDfhWb9Rvms9gVSFkDzL_q4PMb6nJ0ccVeDtpWs9ornESVHleGg8alPUaCdZZkFw3tdVO2SH7cXhFHcJO2a72ptUOIKWRa1YI698bPkk1jMgNZ0PUqLP0lDzH9Nwmly3UzDWT-h-OWnTyfMCPRTljT0R6pQuY34J4a9OsV30cB9GHkOFKQMQMk1YY1n9mT12H7Q3hKf_xObrXjUsA2Kibiopb8NEjbZ3CwApoKuZyu68a6uKa-U6BiAsRbr8RQedrzGEz95qrbUf7pGEcFYRVF0-fX_rsVj5bu80LM7tqwN1ztG1ObrxoPgGJcTKa_dTnmJnHC4rhHVk-KqTB5loNWdBXQUHwWHLBDl_cgX96DK-4Zv4zcbVx25PuC8fGHhalRWY-IgyRR4WO1m88cdQWz8BkCtS2MjdlHIhCbzmeKis7a5M0-Nrh3_EXuNeR7i6k04g-XmYgnf9JhZoBw7VJwPcvtnHLWV6ytCimIj5ShPaO4yqcM3P8RW6WG6sN-kRIua91WIqcfpcH8Z1L5N5HKob5GTPCcaulpVjFFvSBBu-jpG52OgFUNdK-kztUMtOfdcQ93v8mN1wBIagrQFte-nhEI4Oc0bb39tZ4_klYRLRlvyJbuZ4E76wOiEBFjm57BSVkXJJKIl6fYUZqlenDzvJlDdVqEY-4fJFyAFdDyckWDrn1XyQlIEoqW14r5rWmZlz42iW-UBpqWorB7Ri8tqywDZLnnQO52IcM4BflD0sAIdgFWJ-ApnGopAo_SoDcNaF5kF9T1fGGLCjbkNGEucM-v0MTDKrlIxlFREP2kR9B8UjOJL-4um5km4ky_EiY9mjhsfT1-RT6UHg_q_iKTVraQ6wp0tnedPIdMSLciGKDTI4ftHe9R-hggjEQO1NSBA43ujLDjjIZ3VLM0_KzJvZh8ti4N_tnacA9oyNAXY4QRZi_m17LuQsPlg49EL0m7a5KKlVfcujpEI581dbzHd6LXxxZ1faChAZdwJVXfXUrFdC0J9nNjXdkH59E/https://www.amazon.nl/dp/B0BHW2975C/?_encoding=UTF8&aref=vcdfHXGC9n&pd_rd_i=B0BHW2975C&ref_=sbx_be_s_sparkle_ssd_rev&qid=&pd_rd_w=0TJZf&content-id=amzn1.sym.43cf5ee3-7bdd-4279-b6d9-4846d55dbdc3%3Aamzn1.sym.43cf5ee3-7bdd-4279-b6d9-4846d55dbdc3&pf_rd_p=43cf5ee3-7bdd-4279-b6d9-4846d55dbdc3&pf_rd_r=ZW1G1GXS0SACMK6WMD89&pd_rd_wg=HpGH7&pd_rd_r=5831934d-fb89-49d9-99b6-3c693a77c170&pd_rd_plhdr=t
Lifeventure Ellipse Mug,11.89,4.6,1482,In stock,"FREE delivery Thursday, 4 December on your first order shipped by Amazon. Order within 12 hrs 39 mins",No,https://m.media-amazon.com/images/I/61P+Aj3MCCL._AC_SX679_.jpg,‎B00INS8SZK,‎Lifeventure,,‎9.5 x 9.5 x 11 cm; 75 g,,,https://www.amazon.nl/-/en/Lifeventure-Ellipse-Reusable-Camping-Outdoor/dp/B00INS8SZK/ref=sr_1_56
"Milu Thermal Cup - 210 ml 100% Leakproof - Insulated Cup, Coffee Cup to Go, Drinking Cup Made of Stainless Steel - Car Cup Double Wall Insulation - Travel Mug - Travel Mug - Red",18.95,4.3,9118,In stock,"FREE delivery Thursday, 4 December on your first order shipped by Amazon. Order within 22 hrs 23 mins",No,https://m.media-amazon.com/images/I/81e+z+6XEDL._AC_SX679_.jpg,B07SDM8VFK,,,,,,https://www.amazon.nl/-/en/Milu-Thermal-Cup-Leakproof-Insulation/dp/B07SDM8VFK/ref=sr_1_241
"Le Creuset 70302354440002 Mug, Stoneware, 350 ml, Flint",14.95,4.7,9172,In stock,"FREE delivery Wednesday, 3 December on your first order shipped by Amazon. Order within 23 hrs 48 mins",No,https://m.media-amazon.com/images/I/41X5cDnnWUS._AC_SX679_.jpg,B07MP6SZ8T,,,,,,https://www.amazon.nl/-/en/Creuset-70302354440002-Mug-Stoneware-Flint/dp/B07MP6SZ8T/ref=cs_sr_dp_1
"Coffee Mug to Carry , Tlater 380ml Thermo Mug Coffee to Carry with Lid - Coffee to Go Mug - Double Wall Vacuum Stainless Steel Coffee Mug Thermo for Hot and Cold Drinks, Coffee Tea",13.59,4.3,2099,In stock,"FREE delivery Wednesday, 3 December on your first order shipped by Amazon. Order within 23 hrs 48 mins",No,https://m.media-amazon.com/images/I/61XbsU9hOHL._AC_SX679_.jpg,B09YXLQ2GX,,,‎15 x 15 x 10 cm; 250 g,,,https://www.amazon.nl/-/en/Coffee-Carry-Tlater-380ml-Thermo/dp/B09YXLQ2GX/ref=cs_sr_dp_2
Delonghi DLSC065 Ceramic Thermomug with Silicone Lid Flowers,13.99,4.5,130,In stock,"FREE delivery Tuesday, 9 December on your first order shipped by Amazon",No,https://m.media-amazon.com/images/I/61QZxr9G-hL._AC_SX522_.jpg,‎B096FPS1XJ,‎De'Longhi,‎DLSC065,‎9.6 x 9.6 x 15 cm; 50 g,,,https://www.amazon.nl/-/en/Delonghi-DLSC065-Ceramic-Thermomug-Silicone/dp/B096FPS1XJ/ref=sr_1_199
"Le Creuset Stoneware Mug, 350 ml, Teal, 70302351700002",18.0,4.7,9172,Usually dispatched within 6 to 7 months,"FREE delivery Thursday, 11 June, 2026 on your first order shipped by Amazon",No,https://m.media-amazon.com/images/I/71t+T7ngFSL._AC_SX679_.jpg,B07MB5MRQF,,,,,,https://www.amazon.nl/-/en/Creuset-Stoneware-Coffee-Meringue-70302357160002/dp/B07MB5MRQF/ref=cs_sr_dp_4
"Glasmark KROSNO, 230 ml, Set of 6, Glass Mugs, Glasses with Handle, Colored Bottom, Tea Glass, Mug, Glass Mug with Ear, Classic and Universal Style",13.75,4.4,104,In stock,"FREE delivery Tomorrow, 2 December on your first order shipped by Amazon. Order within 11 hrs 51 mins",No,https://m.media-amazon.com/images/I/71WaubAYtLL._AC_SX679_.jpg,B09QM2VMDP,,,,,,https://www.amazon.nl/-/en/Glasmark-Glasses-Colored-Classic-Universal/dp/B09QM2VMDP/ref=sr_1_173
"Stainless Steel Cups, Premium Metal Camping Cups, Lightweight Mugs, Stackable Cup for Travel, Outdoor, Camping(500ml)",8.34,,,In stock,FREE delivery 16 - 20 December. Details,No,https://m.media-amazon.com/images/I/51frYjFKdkL._AC_SX679_.jpg,B0FXB87Q8Z,,,‎14 x 9 x 9 cm; 153 g,,,https://www.amazon.nl/-/en/Gettimore-Stainless-Premium-Lightweight-Stackable/dp/B0FXB87Q8Z/ref=vo_sr_l_dp
"Emsa N21509 Travel Mug Light Stainless Steel Thermos Tumbler, 0.4 Litres, 8 Hours Hot, 16 Hours Cold, 100% Leak-proof, Dishwasher Safe, Folding Closure System, Blue, Pack of 1 (1 Piece)",16.4,4.5,1294,In stock,"FREE delivery Tomorrow, 2 December on your first order shipped by Amazon. Order within 12 hrs 35 mins",No,https://m.media-amazon.com/images/I/517Hhgi4AfL._AC_SX679_.jpg,B08GM8L6RT,,,‎6.6 x 6.6 x 19.6 cm; 190 g,,,https://www.amazon.nl/-/en/N21511-Stainless-BPA-Free-Leak-Proof-Dishwasher/dp/B08GM8L6RT/ref=cs_sr_dp_2
